"city","latitude","longitude","region"
"calderón",-1.43554,-73.52612,"amazonas"
"nazareth",-4.10028,-70.04167,"amazonas"
"san francisco",-1.36667,-72.85,"amazonas"
"recreo",1.51667,-70.53333,"amazonas"
"piedras",-1.07333,-73.28722,"amazonas"
"puerto toledo",-0.97442,-74.26517,"amazonas"
"puerto toro",-2.36942,-70.65843,"amazonas"
"retiro",-2.26667,-71.08333,"amazonas"
"supaiposa",-1.19654,-73.7575,"amazonas"
"pamá",-1.50693,-71.3528,"amazonas"
"las lunas",-0.43333,-74.01667,"amazonas"
"santa catalina",-0.9,-72.41667,"amazonas"
"santa rosa menaje",-1.73333,-72.56667,"amazonas"
"morelia",-1.43778,-71.58583,"amazonas"
"pamar",-1.51667,-71.45,"amazonas"
"noisais",-1.28889,-73.44528,"amazonas"
"la manigua",-3.18333,-70.2,"amazonas"
"araras de coemas",-1.21667,-72.33333,"amazonas"
"puerto alfonso",-2.19978,-70.98963,"amazonas"
"arambaza",-2.06667,-73.1,"amazonas"
"san jorge",-4.14583,-69.90889,"amazonas"
"faiajenes",-0.76667,-73.31667,"amazonas"
"monos",-0.53333,-73.68333,"amazonas"
"mediodía",-2.08333,-72.10121,"amazonas"
"cartagena",-2.44494,-72.2897,"amazonas"
"san francisco",-3.78277,-70.4,"amazonas"
"puerto tolima",-2.18333,-71.61667,"amazonas"
"puerto maría manteca",-1.41417,-70.6125,"amazonas"
"puerto reyes",-0.67038,-74.34264,"amazonas"
"barranquilla",-2.41077,-70.57623,"amazonas"
"alpena",-1.01667,-74.06667,"amazonas"
"puerto palmas",-2.61667,-70.18333,"amazonas"
"pacoa",0.05507,-71.22203,"amazonas"
"soledad",-1.84696,-72.45344,"amazonas"
"sabana",-0.75,-72.46667,"amazonas"
"puerto elvira",-2.43979,-72.85258,"amazonas"
"los mirañas",-1.32083,-70.81111,"amazonas"
"indostán",-1.89308,-72.34763,"amazonas"
"puerto córdoba",-1.24583,-69.72194,"amazonas"
"alianza",-2.88333,-69.76667,"amazonas"
"amacocha",-1.38522,-73.55408,"amazonas"
"characa",-2.81667,-69.78333,"amazonas"
"santa lucía",-2.40964,-72.38797,"amazonas"
"puerto inmaculada",-1.52823,-73.47459,"amazonas"
"orientes",-0.46667,-72.7,"amazonas"
"tolima b",-1.52773,-71.98349,"amazonas"
"tribus yacunas",-0.83333,-70.96667,"amazonas"
"atenas",-0.6,-72.9,"amazonas"
"tarapacá",-2.892,-69.742,"amazonas"
"sabana",-1.16667,-72.46667,"amazonas"
"san antonio",-0.68842,-74.33562,"amazonas"
"santa ana",6.07308,-75.10087,"amazonas"
"abisinia",-1.38333,-72.2,"amazonas"
"san martín",-3.77083,-70.3,"amazonas"
"santa catalina",-2.23333,-73.13333,"amazonas"
"pupuña",-1.83804,-71.10102,"amazonas"
"morelia",-1.16667,-72.03333,"amazonas"
"yauna moloca",-0.86667,-70.13333,"amazonas"
"puerto carlos",-1.85653,-71.57006,"amazonas"
"esperanza",-0.94338,-73.68694,"amazonas"
"quinché",-0.5166,-73.54224,"amazonas"
"puerto caimán",-1.56663,-70.03331,"amazonas"
"bárbara",-0.88339,-72.50129,"amazonas"
"el encanto",-1.74909,-73.20851,"amazonas"
"yaguas",-2.76278,-70.06028,"amazonas"
"internado santa sofia",-3.93333,-70.15,"amazonas"
"santa sofía",-4.00306,-70.14,"amazonas"
"los monos",-0.63083,-73.18111,"amazonas"
"puerto mariti",-1.16667,-69.98333,"amazonas"
"tomás",-1.36667,-69.76667,"amazonas"
"guidones",-1.16667,-73.23333,"amazonas"
"junín",-0.80929,-73.94648,"amazonas"
"san antonio",-2.26667,-73.13333,"amazonas"
"ricaurte",-1.11889,-70.23833,"amazonas"
"las lunas",-0.88472,-73.83839,"amazonas"
"huarumes",-1.46667,-72.41667,"amazonas"
"coraros",-0.4,-74.03333,"amazonas"
"santa rosa",-0.94971,-72.84335,"amazonas"
"buenos aires",3.18333,-70.3,"amazonas"
"puerto pupuña",-2.30786,-70.76081,"amazonas"
"puerto porvenir",-2.54307,-70.25218,"amazonas"
"santa lucía",-1.90547,-72.29728,"amazonas"
"argelia",-1.31932,-73.43327,"amazonas"
"san juan de soco",-3.73611,-70.49278,"amazonas"
"el refugio",-0.57356,-74.38396,"amazonas"
"leticia",-4.21528,-69.94056,"amazonas"
"purna susa",-1.66565,-73.22751,"amazonas"
"gavilanes",-1.06667,-71.88333,"amazonas"
"puerto miraña",-1.33333,-70.31667,"amazonas"
"puerto tumaco",-2.35671,-72.60646,"amazonas"
"san salvador",-2.26469,-71.47192,"amazonas"
"buenos aires",-3.16667,-69.98333,"amazonas"
"san antonio",-1.2,-72.95,"amazonas"
"puerto belén",-2.15,-73.05,"amazonas"
"villa ciencia",-2.91667,-69.91667,"amazonas"
"puerto nariño",-3.78889,-70.35584,"amazonas"
"caserio el chorro",-3.79313,-70.34447,"amazonas"
"burí burí",-2.35092,-72.08576,"amazonas"
"caserio paraiso",-3.75429,-70.41073,"amazonas"
"la chorrera",-0.73333,-73.01667,"amazonas"
"último retiro",-0.38333,-73.61667,"amazonas"
"loreto mocagua",-3.84667,-70.21944,"amazonas"
"gaudencio",-2.49595,-70.30635,"amazonas"
"remolino",-1.25627,-73.62528,"amazonas"
"puerto lópez",-2.22255,-70.86066,"amazonas"
"puerto castro",-1.72533,-73.2226,"amazonas"
"delgado",-1.34711,-73.43378,"amazonas"
"puerto tolosa",-1.03333,-74.15,"amazonas"
"calderón",-3.76667,-69.88333,"amazonas"
